level,label_name,count,width_min,width_median,width_mean,width_max,height_min,height_median,height_mean,height_max,aspect_ratio_median,megapixels_median,top_resolution
total,Total Dataset,8067,252,352,455.25,5120,209,240,315.22,2880,1.467,0.084,352x240
binary,Non-ROI,6848,252,352,370.09,1776,224,240,255.36,1200,1.467,0.084,352x240
binary,ROI,1219,257,640,933.69,5120,209,480,651.47,2880,1.442,0.307,352x240
coarse,Malignant,998,257,640,890.55,5120,209,480,617.15,2880,1.467,0.307,352x240
coarse,Non-malignant,221,352,640,1128.49,4236,240,480,806.46,2880,1.333,0.307,640x480
coarse,Normal mucosa,6386,352,352,360.47,1417,240,240,246.85,969,1.467,0.084,352x240
coarse,Anatomical landmarks,211,252,352,545.71,1776,224,240,414.73,1200,1.467,0.084,352x240
coarse,Foreign bodies,251,255,352,467.06,1554,227,240,338.02,967,1.467,0.084,352x240
fine,AirBubble,210,352,352,352.0,352,240,240,240.0,240,1.467,0.084,352x240
fine,BenignNOS,97,352,640,1027.71,1920,240,480,718.92,1654,1.333,0.307,640x480
fine,BenignRare,4,1516,1753,1735.5,1920,1080,1178,1202.0,1372,1.483,2.074,1920x1080
fine,BiopsyForcep,16,984,1277,1186.19,1554,830,961,943.62,965,1.328,1.229,1002x940
fine,CCG,13,640,640,825.08,1854,480,480,597.85,1264,1.333,0.307,640x480
fine,CIS,71,352,1464,1471.44,5120,240,1080,1005.59,2880,1.333,1.678,640x480
fine,Denuded,9,640,1786,1346.67,2106,480,1364,1114.0,1734,1.321,2.458,640x480
fine,Diverticulum,13,280,980,858.31,1346,232,929,754.0,968,1.128,0.935,1100x868
fine,HighGradePapillary,433,257,640,1078.41,5120,209,480,736.96,2880,1.467,0.307,352x240
fine,InflammationNOS,80,566,918,1301.29,4236,388,718,928.54,2880,1.333,0.669,640x480
fine,LowGradePapillary,493,352,352,640.23,5120,240,240,454.0,2880,1.467,0.084,352x240
fine,NephrogenicAdenoma,4,640,640,640.0,640,480,480,480.0,480,1.333,0.307,640x480
fine,Normal mucosa,6386,352,352,360.47,1417,240,240,246.85,969,1.467,0.084,352x240
fine,PreMalignant,1,1718,1718,1718.0,1718,1600,1600,1600.0,1600,1.074,2.749,1718x1600
fine,ProstaticUrethra,15,509,1230,1149.73,1316,462,960,916.73,967,1.275,1.187,1230x965
fine,ResectionBed,33,268,640,685.61,1776,227,480,524.15,1200,1.333,0.307,640x480
fine,ResectionLoop,17,959,1285,1193.59,1393,843,960,938.59,967,1.333,1.219,1292x963
fine,ResectionScar,30,352,352,352.0,352,240,240,240.0,240,1.467,0.084,352x240
fine,SquamousMetaplasia,5,640,640,816.8,1524,480,480,622.4,1192,1.333,0.307,640x480
fine,Stent,8,255,498,505.12,1087,227,423,423.5,941,1.192,0.215,520x449
fine,Trabeculation,21,252,1010,890.86,1395,224,938,747.48,968,1.119,0.945,282x224
fine,UreteralOrifice,99,352,352,352.0,352,240,240,240.0,240,1.467,0.084,352x240
fine,UrothelialPapilloma,9,352,352,1019.33,2014,240,240,730.22,1440,1.467,0.084,352x240
